127.0.0.1 - - [26/Mar/2024:18:00:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:36 +0900] "GET /GitProject/WEB-INF/Views/ex_rsv.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:41 +0900] "GET /GitProject/fitjoin.do HTTP/1.1" 200 3820
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:42 +0900] "GET /GitProject/assets/js/change_join_login.js HTTP/1.1" 200 10188
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:42 +0900] "GET /GitProject/assets/css/join.css HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:42 +0900] "GET /GitProject/assets/js/join_login.js HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:42 +0900] "GET /GitProject/assets/images/join.jpg HTTP/1.1" 200 23153688
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:43 +0900] "GET /GitProject/assets/css/login.css HTTP/1.1" 200 4375
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:43 +0900] "GET /GitProject/assets/img/join.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:47 +0900] "POST /GitProject/Login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:47 +0900] "GET /GitProject/fitindex.do HTTP/1.1" 200 12863
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:47 +0900] "GET /GitProject/assets/vendors/mdi/css/materialdesignicons.min.css HTTP/1.1" 200 163363
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:47 +0900] "GET /GitProject/assets/css/demo_1/calendar.css HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:47 +0900] "GET /GitProject/assets/images/mem_img/default_img.jpg HTTP/1.1" 200 14424
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:47 +0900] "GET /GitProject/assets/css/demo_1/style.css HTTP/1.1" 200 508453
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:00:47 +0900] "GET /GitProject/assets/vendors/css/vendor.bundle.base.css HTTP/1.1" 200 2714
