,메뉴,가격
0,사골 조랭이떡 만둣국,"5,900"
1,한우 함박스테이크 & 반달 돈까스,"8,900"
2,한우함박스테이크&토네이도소세지,"8,900"
3,해바라기,"10,000"
4,매화,"10,500"
5,진달래,"8,000"
6,개나리,"8,700"
7,돈까스도련님 고기고기,"6,600"
8,탕수육도련님 고기고기,"6,100"
9,새치 고기고기,"7,100"
10,돈치 고기고기,"6,100"
11,카츠카츠,"4,900"
12,숯불직화구이,"6,800"
13,소불고기,"5,700"
14,메가치킨제육,"7,800"
15,칠리 찹쌀탕수육도련님,"4,500"
16,동백,"6,200"
17,치킨제육,"5,000"
18,돈까스도련님,"4,900"
19,제육볶음,"4,700"
20,돈치스팸,"5,000"
21,송정식 떡갈비,"6,900"
22,제육 김치찌개 정식,"8,800"
23,제육 김치 부대찌개 정식,"9,200"
24,돈치스팸 김치 부대찌개 정식,"9,200"
25,빅치킨마요 김치 부대찌개 정식,"8,200"
26,치킨마요 김치 부대찌개 정식,"7,600"
27,빅치킨마요 김치찌개 정식,"7,700"
28,치킨마요 김치찌개 정식,"7,100"
29,빅새치마요,"4,700"
30,새치마요,"4,100"
31,메가스팸마요,"5,900"
32,스팸마요,"4,000"
33,메가치킨마요,"6,200"
34,왕치킨마요,"5,100"
35,빅치킨마요,"4,400"
36,치킨마요,"3,800"
37,참치마요,"3,600"
38,돈치마요,"4,100"
39,돈까스 카레,"4,800"
40,잡채볶음밥(중화풍 매운맛),"5,500"
41,잡채볶음밥(오리지널),"5,300"
42,스팸 김치볶음밥,"4,900"
43,김치볶음밥,"4,100"
44,스팸 철판볶음밥,"4,900"
45,소불고기 철판볶음밥,"5,100"
46,나시고랭,"6,300"
47,묵은지 김치찌개,"5,000"
48,김치 부대찌개,"6,100"
49,핫 치즈 닭갈비덮밥,"6,000"
50,오리지널 치즈 닭갈비덮밥,"6,000"
51,숯불직화구이 덮밥,"6,000"
52,마파두부 덮밥,"5,000"
53,왕카레돈까스덮밥,"6,100"
54,새우돈까스 덮밥,"4,400"
55,돈까스 덮밥,"4,300"
56,아보카도 소불고기 명란 비빔밥,"6,700"
57,소불고기 감초고추장 비빔밥,"5,600"
58,시골제육 두부강된장 비빔밥,"5,400"
59,참치야채 감초고추장 비빔밥,"3,700"
60,튼튼도시락,"5,200"
61,반찬 묵은지김치찌개,"4,400"
62,반찬 카레,"2,900"
63,반찬 순살 고등어 간장구이,"3,900"
64,반찬 김치 부대찌개,"4,900"
65,반찬 치킨,"3,800"
66,반찬 고기고기,"3,600"
67,반찬 돈까스도련님,"4,100"
68,반찬 제육볶음,"3,500"
69,반찬 토네이도 소세지,"3,200"
70,반찬 돈까스,"2,900"
71,치즈버터 해시 포테이토 스틱,"2,200"
72,허니버터 해시 포테이토 스틱,"2,200"
73,해시 포테이토 스틱,"2,000"
74,뉴 감자고로케,"2,700"
75,미니 찹쌀핫도그,"2,800"
76,미니 찹쌀탕수육,"2,300"
77,케이준후라이,"1,900"
78,통현미 닭강정(소),"3,500"
79,통현미 닭강정(중),"8,500"
80,후라이드 순살(중),"7,500"
81,후라이드 순살(소)_양념치킨소스,"4,000"
82,후라이드 순살(소)_케이준소스,"4,000"
83,3종 미니반찬B,"1,300"
84,3종 미니반찬A,"1,300"
85,오징어젓갈,600
86,한솥 두부강된장소스,"1,800"
87,한솥 감초볶음고추장소스,500
88,볶음김치,500
89,김치,400
90,무말랭이 무침,500
91,한솥밥,"1,000"
92,현미밥,"1,700"
93,리얼꿀 미니호떡,"2,200"
